keywords_en
"statistical models, public health, FARSI approach, science communication"
"photoplethysmography, emotion recognition, high dynamic range, videos"
"exoskeleton, lower limbs, actuation, characteristics"
"Human-Robot Interactions, Psychoaffective Factors, Cognitive Factors, Assistive Wearable Devices"
"dynamic topographies, intrinsic times, consciousness"
"multiscale, multimodal, neocortex, variability"
"cerebellar, parietal, gait, transcranial magnetic stimulation"
"cerebellar, parietal, gait, body schema"
"neural timescales, EEG, permutation entropy, time delay"
"UWB-radar, monitoring, elderly, adaptive method"
"genetic variability, FOXP2, CNTNAP2, frontotemporal dementia"
"Cryopreservation, Biobanking, Biomarker Integrity, Omics Data"
"care-ready homes, design guidelines, assistive technologies"
"oral health, intrinsic capacity, older adults, NHANES"
"oral health, frailty models, embedding, indicators"
"periodontal disease, intrinsic capacity, older adults, NHANES"
"oral frailty, cognitive disorders, depression, systematic review"
"oral frailty, cardiovascular diseases, cerebrovascular diseases, older age"
"periodontal disease, cognitive disorders, dementia, depression"
"oral health, bone mineral density, elderly, systematic review"
"dementia, training, migrants, care assistants"
"dementia, caregivers, education, Age-it"
"Large Language Model, Esperienza Narrativa, Romanzo Visivo, Storie"
"policies, active aging, Italy"
"vulnerability, aged care, ethics, systematic review"
"auditory stimuli, eye movements, game performance, silent vs sound"
"angle of arrival, indoor environments, bluetooth 5.1, direction finding"
"Decision Support, System, Age-It"
"biofeedback, hyperscanning, HRV dynamics, affective experiment"
"Acoustic Analysis, Sentiment Analysis, Voice Pathologies, Life Quality"
"elettrodermal activity, dyads, affective task, quantitative analysis"
"frailty, elderly, community, SUNFRAIL+"
"burning mouth syndrome, ICT interventions, unmet needs, blueprint persona"
"Game Performance, Eye Blinking, Pupil Metrics, Matching Pairs"
"Event-Related Potentials, Aloud Reading, Complex Words, Pseudowords"
"Expectancy Violation, Climate Change, Implicit Attitudes, Brain Responses"
"pupil dilation, emotional activation, serious games"
"Markov Chain, Facial Emotions, Dynamics, Video Games"
"Machine Learning, Artificial Intelligence, Federated Learning, Colposcopy"
"eyetracking, matching pairs, game"
"NMR, metabolismo, siero, WPC-80"
"profiling, nutritional gaps, human milk, infant formulas"
"electrodermal activity, acoustical analysis, reading task, words/non-words"
"aging, determinants, Novara cohort, Northern Italy"
"deepfake, face recognition, EEG, cognitive implications"
"vision-language models, ECG interpretation, exploratory study"
"physical activity, digital intervention, deep reinforcement learning, recipient profile"
"eye-tracking, Implicit Association Test, correlates"
"electroencephalography, emotions, stimulation, faces"
"elderly, questionnaire, friendly cities, Italy"
"Education, Learning, Skills, Active aging"
"social justice, aging, active citizens, learning"
"circulating vesicles, systemic sclerosis, vascular dysfunction"
"frailty, aging, biomarkers, Novara Cohort"
"KDM1A, colorectal cancer, stemness, differentiation"
"UPO Biobank, biobanking, traslational research, integrazione accademica"
"extracellular vesicles, biomarkers, anticoagulants, isolation techniques"
"biomarkers, aging, frailty, multimorbidity"
"autobiography, quality, longevity"
"public attitude, biobanking, Italian university, survey"
"spiperone, mechanism of action, drug repurposing, colorectal cancer"
"early identification, frailty, elderly, primary care"
"gender differences, health literacy, stress, caregivers"
"multidisciplinary team, primary care, health center, Italy"
"shared reading, interventions, psychosocial well-being, older adults"
"Health Literacy, seniors, European Survey, Tuscan PASSI"
"home hospital, geriatric care, Italian experience"
"communication, elderly adults, climate change, systematic review"
"Primary Health Care, Interprofessional education, Training Workshop, Insights"
"inequalities, psychological well-being, Italian universities, pandemic"
"city, elderly, dataset, AFCCQ-IT"
"age-friendliness, Venice, older residents, quantitative study"
"heterogeneity, surface proteins, muscle stem cells, flow cytometry"
"micro-heterogeneity, satellite cells, regenerative, muscle"
"GDF15, muscle health, circulating markers, intramuscular markers"
"RalA, high-fat diet, mitochondria, shape"
"active longevity, continuing education, well-being, emergency"
"exceptionality, longevity, innovative housing, Active Ageing"
"Active Ageing, lifelong learning, role, active aging"
"speech, build, ageing"
"Federated Networks, Kolmogorov-Arnold, Healthcare Data, ECG Signal"
"over-55, gerontechnologies, active ageing, healthy ageing"
"elderly, gerontechnologies, health, activities"
"gerontechnologies, healthy aging, design, guidelines"
"wellbeing monitoring, frail people, pre-frail, scoping review"
"Federated Learning, Edge-Cloud, Privacy-Preserving, Healthcare"
"policy maker, indications"
"aluminum nitride, thin film, piezoelectric, pressure sensor"
"metabolic signatures, clinical outcomes, immunotherapy, melanoma"
"Federated Learning, Explainable, Healthcare, Arrhythmia Detection"
"anti-inflammatory, electrostimulation, effects, standardized"
"HCD, physical interfaces, digital interfaces, active aging"
"Gerontechnology, Digital health, Active aging, Design"
"Short Video, Interestingness, Machine Learning, Creative Cues"
"solitudine, pazienti anziani, significato clinico, ospedale acuto"
"COVID-19, mortality, elderly, artificial intelligence"
"dysphagia, screening, time"
"dysphagia, nursing home, prevalence, management"
"methylation patterns, TTV load, geriatric patients, functional analysis"
"Systemic Index, Depopulation, Molise"
"intergenerational relationships, support, elderly parents, Italy"
"Neutrophil to Lymphocyte Ratio, biomarker, dementia, cognitive impairment"
"delirium, medications, role"
"Golgi complex, cell division, dysregulation"
"TENT5, FAM46, secretory, family"
"Golgi checkpoint, spindle formation, cytokinesis"
"care, social inequalities, caregiving, Italia"
"social inequality, informal care, Italy"
"caregiving, disadvantages, existing"
"health, gender, Europe, inequalities"
"inequalities, healthcare, elderly population, Italy"
"Caring, Ageing Society, Support Network, Italy"
"local regression, place-based policies, Molise, Southern Italy"
"elderly society, elderly assistance, multidisciplinary considerations, Italia"
"elderly assistance, supply demand, peninsula, services"
"micro data, assistance request, elderly, Italy"
"assistance request, elderly employees, Italy, available sources"
"long-term care, definitions, conceptual framework"
"statistical sources, elderly care, Italy"
"exchanges, help, Italy"
"CDK4/6 inhibitors, cell cycle, therapy resistance"
"biomarker panel, fibroblasts, prostate cancer, prognostic power"
"plastic pollutants, endocrine cancer, environmental impact"
"dark matter, cancer immunology, multiomics, therapies"
"Interleukin-1β, tumor-supporting, IGF1, triple-negative breast cancer"
"RNA-sequencing, sample preparation, bioinformatics, analysis"
"cancer-associated fibroblasts, gene signatures, breast tumors, prostate tumors"
"GPER, palbociclib, breast cancer, resistance"
"GPER deletion, triple negative breast cancer, JNK pathway, Noxa"
"EphA3, RAGE, motility, breast cancer"
"hardware description language, high-level synthesis, FPGA, ultrasound beamformers"
"ultrasound, open platform, ultraportable scanners, advanced techniques"
"deep learning, beamforming, ultrasound images, synthetic aperture"
"imaging system, deep learning, real-time, ultraportable"
"proteomic signature, osteoclast differentiation, deubiquitinase, UCHL1"
"frailty, elderly, super-classifier, indicator"
"Ontology-Based, Mining, ADRs"
"model-based, scan statistic, spatial clusters, mortality risk"
"muscle strength, pulmonary function, z scores"
"muscle strength, ultrasound, biceps brachii, functional decline"
"diabetes mellitus, delirium, meta-analysis, systematic review"
"epicardial fat, heart rate recovery, metabolic risk, adults"
"muscle strength, epicardial fat, healthy adults"
"muscle force sensing, biomechanical systems, multibody systems, constraints"
"Golgi Organization, Cell Cycle, Cancer Development"
"frailty, Parkinson's disease, diabetes mellitus"
"leptin, adiponectin, cerebral infarcts, Alzheimer"
"cognitive decline, sex, occupational status, risk factors"
"Golgi checkpoint, spindle formation, cytokinesis"
"multimorbidity, network, diseases"
"multimorbidity, network, diseases, health outcomes"
"multimorbidity, graphs, models, health"
"Innovation, Society, Statistics, Data Science"
"fragility, elderly, measure"
"fragility, social"
"fragility, measures, investigations, population"
"Bayesian, mapping, mortality, clusters"
"Virtual Prototyping, Human-Robot Ecosystem, Multiphysics Simulation, Upper Limb Motion"
"robotic device, upper limb, neuromotor rehabilitation, parameter estimation"
"rehabilitation, upper-limb, devices, design"
"artificial muscles, upper-limb, rehabilitation devices, actuators"
"muscular fiber, force sensing, musculoskeletal, MultiBody model"
"dopaminergic therapy, decision-making, impulsive-compulsive, Parkinsonian patients"
"GaitObserver, robotic solution, walking dynamics, dual tasks"
"aging, financial risk, meta-analysis"
"frailty, older adults, policy, research"
"TENT5C, FAM46C, anticorpi, mieloma multiplo"
"anchors deployment, AoA, indoor localization, impact"
"smart technologies, home care, living spaces, case study"
"user engagement, robot handovers, social manipulator"
"engagement, human-robot interaction, automatic assessment, systematic review"
"user perception, following-robot, gait assessment"
"Eye Gazing, Socially Assistive Robotics, Intensive Care, Feasibility"
"Social Robot, Reinforcement, Behavior, Exploration"
"Indoor Positioning, Training Data, Physics-Informed, Neural Networks"
"health services, service management, older age, transitions"
"Open Science, Indoor Positioning, Open Data, Code"
"LLM, Indoor Navigation, method"
"Open Science, Indoor Positioning"
"open research, data, indoor positioning, guidelines"
"open science, indoor positioning, open data, code"
"Open Research Data, Indoor Positioning, ORDIP, Dataset"
"localization, algorithms, Angle of Arrival, benchmark"
"open science, indoor positioning, navigation research, survey"
"Indoor Localization, Handoff Protocol, Integration"
"indoor localization, proximity detection, direction finding, experimental evaluation"
"monitoring, health, elderly, architecture"
"radio-frequency, handoff, indoor localization, integration"
"Person-Centric, Healthcare, Ambient Technology, Assistive"
"Bluetooth 5.1, dataset, indoor localization, angle of arrival"
"localization error, AoA, localization system"
"body orientation, indoor positioning, BLE 5.1, direction finding"
"marker, platelet activation, menstrual cycle, healthy women"
"neuroscience, architecture, design, human performance"
"SHAFE environments, design, living spaces, climate"
"GIS, quality, walking, tools"
"long non-coding RNAs, H19, PURPL, cell senescence"
"astrocytes, Amyloid β1-42, Alzheimer, differential responses"
"modelling approaches, varying-thresholds model, quantile regression"
"LAT1 transporter, antiport mechanism, molecular determinants, wet and dry approaches"
"thresholds model, quantile regression, comparison"
"Environmental design, SHAFE, approach"
"Mitokine, GDF-15, Sarcopenia, Malnutrition"
"CKD, frailty, eGFR, elderly"
"sarcopenia, muscle, ageing, molecular"
"intergenerational care, gendered scripts, online interaction"
"dairy products, frailty, older adults, InCHIANTI cohort"
"elderly care, gendered scripts, family, epistemic object"
"fertility intentions, late-life care, Italy, future outlook"
"frailty index, frailty phenotype, mortalità, FRASNET"
"biomarkers, sarcopenia, muscle mass, muscle function"
"collaboration, AI tools, home adaptation, older adults"
"Drugs, Healthy Aging"
"sarcopenia, treatment, results, recognition"
"biomarkers, sarcopenia, muscle mass, neurofilaments"
"adrenomedullin, endothelitis, organ damage, infections"
"Housing, Home Care, Assistive Technologies, Design Solutions"
"design, sustainability, scenarios, connections"
"Frailty Index, POSET theory, health data"
"indicators, fragility, data, administrative"
"fragility, elderly, identification"
"fragility, elderly, health policies, measurement"
"muscle quality, COVID-19, echointensity, stiffness"
"DNA polymorphisms, inflammatory signals, endocrine signals, obesity"
"Housing Adaptability, Aging in Place, Sustainable Approaches, Environmental Comfort"
"sarcopenia, mechanisms, management"
"soft skills, life satisfaction, cognitive reserve, adulthood"
"sarcopenic obesity, pre-sarcopenia, frailty, Italian elderly"
"Habitable, Future, Applied Sciences, Technology"
"Habitable Future, Smart Spaces, Aging, Devices"
"Reading, complexity, older adults"
"mental health, caregivers, gender differences, Europe"
"cultura, salute, ISTAT, pseudo-panel"
"kinlessness, older ages, prevalence, heterogeneity"
"environment, satisfaction, life, Italia"
"MASLD, hepatic fibrosis, metabolic profile, index"
"platelets, atrial fibrillation, oral anticoagulants, reactivity"
"performance, multisensor, device, healthy aging"
"neutrophil-lymphocyte ratio, cirrosi, outcomes, PRO-LIVER Registry"
"Metabolic Syndrome, Liver Disease, NAFLD, MASLD"
"Ppg, Multisensor, Aging, Features"
"sex differences, gender differences, cardiovascular diseases"
"MASLD, hepatic fibrosis, dysbiosis, stellate cells"
"Housing Tenure, Health, Later-Life, Europe"
"pro-adrenomedullin, organ failure, prognosis, sepsis"
"infections, vaccinations, platelets, aggregates"
"machine learning, bio-psycho-social model, coronary artery disease, prediction"
"cognitive skills, older adults, strategy, improvement"
"mobile-health, atrial fibrillation, equitable solutions, diverse needs"
"Mediterranean Diet, Cardiovascular Events, Ischemic Heart Disease, EVA Study"
"pro-adrenomedullin, natriuretic peptide, heart failure, diagnosis"
"health, early adulthood, fertility, British cohort"
"misclassification, self-rated health, older adults, Italy"
"overqualified, job satisfaction, migrants"
"work, health, well-being, cohorts"
"overqualification, job satisfaction, wage satisfaction, migrants"
"educational disparities, dementia incidence, healthcare utilization, cohort Italy"
"educational disparities, dementia risk, hospitalization, Lazio"
"occupational restructuring, technological transition, Italian companies, expansion contract"
"aging, workforce, representation, workers over 50"
"workers over 50, collective agreements, representation, labor regulation"
"kinlessness, adult age, old age, Europe"
"7-ketocholesterol, LAT1 transporter, function, stability"
"Lysine 204, antiport function, LAT1 transporter, human"
"OCTN1, heavy metals, microplastics, SLC22A4"
"inflammation, organic cation, transporters, OCTNs"
"SLC7A10, E. coli, proteoliposomes, functional assay"
"LAT1, copper transport, antiport, uniport"
"inhibition, carnitine carrier, Itaconate, cysteine 136"
"HIV reservoir, premature aging, risk factors, adolescents"
"IoT, CO2 forecasting, Generative Adversarial Networks, air quality"
"outcome measures, health interventions, multimorbid adults, systematic review"
"electromyography, sarcopenia, artificial intelligence, processing techniques"
"Transfer Learning, Toe Walking, Surface Electromyography, Leg Muscles"
"old age, risks, consumption, insurance"
"skin contact, optical calibration, wearable tactile, softness"
"child affordability, income effect, first births, longitudinal data"
"Reverse Mortgages, cashflows, insurance product, Life Care"
"longevity, gender, evidence-based, comparison"
"morbidity, healthcare expenses, young-elderly population, time of death"
"Reverse Mortgage, Italy, cognitive dissonance, future concerns"
"reverse mortgages, risk factors, impact, source"
"Reverse Mortgages, survey, Italy, fear"
"Waiting Spaces, Primary Care, Healthy Ageing, Design Guidelines"
"households, save, work"
"teno virus, viremia, mortality, inflammaging"
"precision interventions, inflammaging, metrics"
"circulating DNA, cardiovascular disease, cell-free DNA, clinical parameters"
"digital health, self-care, chronic illness, emotional burden"
"Decision Support, Ambient Assisted Living, Domestic Environments"
"triglyceride glucose index, mortality, cardiovascular events, type 2 diabetes"
"health, inequality, economic disparities, race"
"Remote PPG, Performance, Usability, Smartphones"
"heart rate variability, autonomic nervous system, biomarkers, inflammaging"
"movement disorders, smart devices, wrist, comprehensive"
"Seniors, Living Spaces, Design Support, Ambient Assisted Living"
"DNA Methylation, biological age, mortality risk, type 2 diabetes"
"Deep Transfer Learning, Smartwatch, Fall Detection, Systems"
"biomarkers, inflammaging, Alzheimer, dementia"
"metabolic crosstalk, cancer, cachexia"
"Transfer Learning, Fall Detection, Smartwatch, Smartphone"
"Virtual Reality, Smart Waiting Room, Well-Being, Prototype"
"PHAF1, MYTHO, autophagy, muscle integrity"
"gender inclusion, financial literacy, demographic literacy, mortality gap"
"women, retirement behavior, pension wealth, pension reform"
"sensory spaces, fragility, Community Houses"
"Healthy Aging, Interventions, Community Program, Italy"
"early-life adversity, spontaneous behavior, mice, Cntnap2"
"inflammatory fingerprint, cognitive training, physical training, mild cognitive impairment"
"humanoid robot, serious games, cognitive impairment, older adults"
"automated assessment, mouse body-language, behavioral disruption, psychiatric vulnerability"
"Tooth Loss, Intrinsic Capacity, Risk Factor, Aging"
"burning mouth syndrome, ICT interventions, unmet needs, care"
"Full Retirement Age, early retirement, policy interaction, choices"
"hospitalization, health care, expenditures, young-old"
"aging, welfare, prospects"
"Music Listening, Cognition, Affective State, Older Adults"
"care environments, spaces, technologies, inclusion"
"perceived barriers, community nurses, elderly care, facilitators"
"Burning Mouth Syndrome, ICT Interventions, Unmet Needs, Blueprint Persona"
"retirement age, women, early retirement, policies"
"Brain Damage, Frontotemporal Dementia, Classification, Progression Patterns"
"aging, physical activity, non-communicable diseases, UK"
"Brain Atrophy, Dementia, Frontotemporal, Classification"
"motivation, self-care, aging, systematic review"
"Professionalism, Self-Determination, Older Adults, Transitions"
"education, professionalism, self-determination, elderly"
"Lyric opera, RSA, wellness, project"
"pension reform, women, work longer, opting out"
"self-care, lifestyle change, aging, narratives"
"Retirement Income, Life Insurance, Cost, Quantitative Insights"
"longevity, income, real estate, challenges"
"well-ageing, equity release, mortgage market"
"Lee-Carter, model, mortality, gender"
"gender-inclusive, financial literacy, demographic literacy, empirical evidence"
"marriage-related taxes, Social Security, female labor, economic impact"
"architecture, child care, Porcheresse, Belgium"
"disability, trends, analysis, cohort"
"meat-based diet, colorectal cancer, dietary intervention, risk"
"ethical implications, legal implications, health monitoring, wearable devices"
"personal data, dementia, caregiver, ethics"
"sensor, sleep monitoring, caregivers, dementia"
"Wearable Devices, Health Monitoring, Data Protection, Ethical Issues"
"ethical issues, legal issues, health monitoring, wearable devices"
"job insecurity, New Keynesian, asymmetric information, E-stability"
"sensory environments, inclusion, strategy"
"technological impact, healthcare, ethical rules, legal rules"
"health, community, building, promotion"
"thermodynamics, aging, metabolic models, longevity"
"DNA damage, alkaline comet assay, inter-laboratory variation, hCOMET ring trial"
"cryopreservation, potassium bromate, oxidative damage, comet assay"
"DNA strand break, cryopreserved cells, alkaline comet assay, hCOMET trial"
"Senolytic Activity, Quercetin, Osteosarcoma, Fibroblasts"
"selenoproteins, antioxidant, cardiovascular, pathophysiology"
"older persons, law, vulnerable"
"aging, migrant workers, senior, Italy"
"token boundary, disfluent speech, detection"
"economic activities, senior workers, Italy"
"telework, job insecurity, work-life balance, age stratification"
"telecommuting, senior workers, job insecurity, work-life balance"
"healthy ageing, framework, measurement, dataset"
"healthy ageing, conceptualisation, measurement, literature review"
"tactile sensitivity, virtual reality, visual expectation, tactile feedback"
"Work-Life Balance, determinanti, Europa"
"active aging, health, sustainable"
"Parvovirus B19, cellular senescence, dermal fibroblasts, systemic sclerosis"
"oral text reading, multi-sensory, task"
"perceived barriers, community nurses, elderly care, facilitators"
"Family Nurse, Community Nurse, Role Identity, Phenomenological Study"
"nurses, caring, older people, domiciliary settings"
"outcome measures, type 2 diabetes, older populations, AI-assisted review"
"health psychology, diabetes, depression, adherence"
"diabetes, dementia, risk factor, onset age"
"type 2 diabetes, mental health, retrospective cohort, disease trajectories"
"bioink, hydrogel, stem cells, cardiomyocytes"
"GelMA, Xanthan Gum, bioink, hiPSCs"
"Wearable Display, Tactile, Virtual Reality, Cognitive Rehabilitation"
"tactile display, softness, virtual reality, finger-mounted"
"organic cation transporters, ethanolamine efflux, phosphatidylethanolamine, cellular transport"
"Eye Fixation, Computational Models, Transformers, Reading Patterns"
"dataset, text reading, early readers, mature readers"
"home adaptation, healthcare, computational design, decision-support system"
"cAMP, PKA, CREB1, cachexia"
"green spaces, health, environmental quality, Case della Comunità"
"Parvovirus B19, cellular senescence, dermal fibroblasts, systemic sclerosis"
"comet assay, genotoxicity, colon cancer, biomarker"
"fibroblasts, colon, carcinogenesis, inflammation"
"vulnerability, elderly people, right"
"elderly person, family, society, civil law"
"elderly person, legal relevance, notion"
"Active Case, Healthy Community, Spatial Requirements, Waiting Spaces"
"Elderly Care, User Engagement, Design, Challenges"
"Acute myeloid leukemia, DGKα, DGKζ, cell viability"
"ghrelin, adipogenic, insulin resistance, mouse model"
"SAP, WASP, DGKα, hematological"
"inflammation scores, C-reactive protein, albumin, mortality"
"inflammation scores, C-reactive protein, albumin, mortality"
"constipation, elderly, emergency room, neglected condition"
"informal caregivers, elderly, public services, available surveys"
"informal carers, digital health, scoping review, older adults"
"good practice, lifelong learning, definition"
"retirement, ties, family networks, well-being"
"aging, sustainable cities, older adults, urban development"
"well-being, senior workers, transition, retirement"
"grandparents, grandchildren, parents, 21st century"
"grandparents, rhetoric, today, tomorrow"
"elderly, education, active aging, Italy"
"generative relationships, intergenerational ties, family, solidarity"
"Web, participation, citizens, social"
"support diads, social capital, elderly fragility"
"aging, society, population, Italy"
"WASP, DGKa, Wiskott-Aldrich, sindrome"
"FK506, erythroferrone, cancer cachexia, muscle atrophy"
"pro-resolving mediators, cardioprotection, inflammation, therapeutic potential"
"Dyslipidemia, SPTLC3, Bile Acid, Sphingolipid"
"signaling pathways, endothelial dysfunction, cardiovascular aging"
"Selenoprotein T, Cardiomyocyte, Senescence, CD36 Receptor"
"Selenoprotein T, stress sensor, heart failure, redox-active"
"diacylglycerol kinases, acute myeloid leukemia"
"Wiskott-Aldrich syndrome, diacylglycerol kinase, IL-2, protein interaction"
"HMGB1, pleiotropic protein, aging, age-related diseases"
"OCTN1, SLC22A4, transport, cations"
"Siltasairaala, bridge, connection, health"
"aging, quality of life, psychological resilience, advanced age"
"eye-voice span, finger-voice span, oral reading, reading assessment"
"Dementia, Mental Health, Wellbeing, Co-design"
"flexibility, customisation, sensory healthcare, wellbeing"
"genetic ancestry, longevity, Italian population, hunter-gatherer"
"HLA-B* 57:01, innate immunity, longevity, genetics"
"KALI Project, Health Promotion, Waiting Rooms"
"clonal hematopoiesis, cardiovascular aging, verona heart study"
"sociality, ageing, bioanthropology"
"genetics, epigenetics, sex differences, human survival"
"epigenetic aging, Wichí, Criollos, genomic history"
"fertility decline, female survival, post-reproductive, Italy"
"GDF15, aging, factor, human"
"chlorinated solvents, DNA methylation, human variability"
"cysteine, stabilizer, bending intermediate, MATH domain"
"allosteric modulation, Grb2, ligand-dependent, signal responses"
"LGBTQ+ seniors, sports contexts, indicators, good practices"
"speech emotion recognition, feasibility, generalization, actors"
"CEEMDAN, PPG, synthetic data, generation"
"SER_AMPEL, dataset, speech emotion recognition, Italian elderly"
"behavior, task classification, wearable sensors, ages"
"speech emotion recognition, computational framework, multisource data"
"redox regulation, phosphotyrosine binding, FRS2, folding function"
"topological determinants, protein folding, metamorphic proteins"
"folding, misfolding, multidomain, proteins"
"love, duty, caregivers, Filippini"
"aging, caregivers, Ukraine, Venice"
"Folding Asymmetry, Misfolding, PDZ Scaffold, Structural Features"
"PDZ, tandem repeat, pathways"
"Folding, Binding, Kinetics, SH2 Domains"
"CrkL, protein-protein interactions, linear motif, ProP-PD"
"diets, colorectal cancer, α-tocopherol, behavioral intervention"
"meprin, TRAF-C, POZ protein, binding mechanism"
"Lactobacillus iners, vaginal microbiota, Italian women, reproductive age"
"aging, women, microbiome"
"TYK2, autoimmunity, variant, immune cells"
"vaginal microbiota, menstrual cycle, Italian population, Women4Health"
"microbiota, Sardinian cohort, lifestyle, genotype"
"Social Justice, Senior Mobility, Sustainable Development, Transportation Sector"
"Public transport, User perceptions, Influencing factors, Urban context"
"transport infrastructure, elderly, economic effects"
"equity, sustainability, transport infrastructure, elderly"
"elderly mobility, composite indicators, sustainable development, European countries"
"PTB domain, FRS2, folding properties, binding properties"
"C16ORF70, gene, aging, C. elegans"
"Grb2, cSH3 domain, modulators, biological evaluation"
"folding cooperativity, multidomain protein, isolated domains"
"health services, indicators, critical issues, prospects"
"allostery, experimentalist"
"quercetin, senolysis, autophagy, osteosarcoma"
"biological clocks, customization, anti-aging, ageotyping"
"Doxorubicin, senescence, fibroblasts, Quercetin"
"senescence, fibroblasts, Quercetin, tumor"
"diabetes management, nursing support, primary care, aging society"
"family medicine, territorial assistance, reorganization, health"
"MitSorter, mtDNA, NuMT, methylation"
"lncRNAs, Alzheimer, gene co-expression, RNA-seq"
"NMR, biomedicine, literature, overview"
"NMR spectra, machine learning, one dimensional, experiment"
