title,keywords
"Spectrophotometric Assay for the Detection of 2, 5-Diformylfuran and Its Validation through Laccase-Mediated Oxidation of 5-Hydroxymethylfurfural","spectrophotometric assay, diformylfuran, laccase, oxidation"
From leather wastes to leather: enhancement of low quality leather using collagen recovered from leather tanned wastes,"collagen, leather wastes, low quality leather, enhancement"
Laccases from Pleurotus ostreatus Applied to the Oxidation of Furfuryl Alcohol for the Synthesis of Key Compounds for Polymer Industry,"laccases, Pleurotus ostreatus, furfuryl alcohol, polimeri"
ANTARCTIC BACTERIUM PSEUDOALTEROMONAS HALOPLANKTIS TAC125,"Antarctic, bacterium, Pseudoalteromonas, TAC125"
From leather wastes back to leather manufacturing: the development of new bio-based finishing systems,"leather wastes, bio-based, finishing systems, manufacturing"
"From Leather Wastes back to Leather Manufacturing: The Development of New Bio-Based Finishing Systems. Coatings 2023, 13, 775","Leather Wastes, Bio-Based, Finishing Systems, Manufacturing"
"Iron (III) Complexes of Flavanones in Citrus Fruits: Stability, Structures and Antioxidant Properties","Iron complexes, Flavanones, Citrus fruits, Antioxidant properties"
Ophtalmic preparations for photo-crosslinking reactions,"ophtalmic preparations, photo-crosslinking, reactions"
The Role of Healthcare Occupational Welfare in “Special Italian SMEs”,"Healthcare, Occupational Welfare, Italian SMEs"
THE NEW ASPECT OF THE OCCUPATIONAL WELFARE SYSTEM IN ITALIAN SMES.,"occupational welfare, Italian SMEs, new aspect"
Nexus complexus. Sguardi sulla complessità,"Nexus, complessità, sguardi"
La riorganizzazione degli spazi di lavoro nelle PMI italiane dopo la pandemia di COVID-19: tendenze e preferenze emergenti,"riorganizzazione, spazi di lavoro, PMI italiane, COVID-19"
Nexus complexus. Sguardi sulla complessità Vol. 2,"Nexus complexus, complessità, sguardi, volume 2"
Nexus complexus. Sguardi sulla complessità Vol. 1,"Nexus complexus, complessità, sguardi"
The role of the corporate ethical virtues model in sustainability reporting,"corporate ethics, sustainability, reporting"
Undocumented Migrants in Italy. A Study of the Regularization in Time of Covid-19,"migranti, Italia, regolarizzazione, Covid-19"
L'impatto della digitalizzazione sui servizi di welfare nelle PMI italiane,"digitalizzazione, servizi di welfare, PMI italiane"
Il punto di vista della working-class sul ruolo dello smart working nelle PMI italiane: un caso studio,"working-class, smart working, PMI, caso studio"
Theory of the Olivettian organizational model and CSR knowledge in practice,"Olivettian model, CSR, organizational theory"
Flexible Work Arrangement nelle grandi imprese italiane dopo il Covid-19,"Flexible Work, grandi imprese, Covid-19, arrangement"
Review on the digitalization of occupational welfare services in Italy before and after the COVID-19 pandemic,"digitalizzazione, welfare occupazionale, COVID-19, Italia"
Occupational welfare and business ethics in Italy: three case studies,"welfare occupazionale, etica aziendale, Italia, casi studio"
Evolutionary and ecological determinants of human longevity,"evolutionary determinants, ecological determinants, human longevity"
Unveiling social disparities in later life: Income’s Impact on mortality among the elderly in Italy,"disparità sociali, reddito, mortalità, anziani"
Neutrophil-activating secretome characterizes palbociclib-induced senescence of breast cancer cells,"neutrophil, secretome, palbociclib, senescence"
Cellular prion protein and calcium ions trigger the neurotoxicity of α-synuclein aggregates,"prion protein, calcium ions, neurotoxicity, α-synuclein"
Robotic-Assisted rehabilitation for Post-Stroke shoulder pain: A systematic review,"robotic-assisted, rehabilitation, post-stroke, shoulder pain"
Radar-Based Activity Recognition in Strictly Privacy-Sensitive Settings Through Deep Feature Learning,"Radar, Activity Recognition, Privacy, Deep Learning"
Future-proof homes. Design support system for selecting age-adaptive building elements and finishes,"future-proof, homes, design support, age-adaptive"
A comparative analysis of grip strength evaluation methods in a large cohort of aged mice,"grip strength, evaluation methods, aged mice"
The aging choroid plexus and its relationship with gut dysbiosis and Klotho decline: possible intervention strategies,"choroid plexus, gut dysbiosis, Klotho, intervention strategies"
"Anti-aging interventions in geriatric mice: insights into the timing of treatment, benefits, and limitations","anti-aging, geriatric mice, treatment timing, benefits limitations"
Structure–toxicity relationship in Intermediate Fibrils from α-Synuclein condensates,"structure, toxicity, α-Synuclein, fibrils"
Promoting civil discourse on social media using nudges: A tournament of seven interventions,"civil discourse, social media, nudges, interventions"
“I think this news is accurate”: endorsing accuracy decreases the sharing of fake news and increases the sharing of real news,"fake news, real news, accuracy, sharing"
Social and moral psychology of COVID-19 across 69 countries,"psicologia sociale, psicologia morale, COVID-19, paesi"
Modularity and customisation for home care–Configuration and multicriteria analysis of furnishings,"modularità, personalizzazione, casa, arredamento"
Displaying news source trustworthiness ratings reduces sharing intentions for false news posts,"trustworthiness, false news, sharing intentions, news source"
Social value orientation and conditional cooperation in the online one-shot public goods game,"social value orientation, conditional cooperation, public goods, online game"
Predicting attitudinal and behavioral responses to COVID-19 pandemic using machine learning,"COVID-19, machine learning, attitudinal responses, behavioral responses"
National identity predicts public health support during a global pandemic,"identità nazionale, salute pubblica, pandemia, supporto"
MODULARITÀ E PERSONALIZZAZIONE PER LE CURE DOMICILIARI Configurazione e analisi multicriteri degli arredi.,"modularità, personalizzazione, cure domiciliari, arredi"
Adattamento domestico per l’Home Care. Strumenti per valutare la sicurezza,"adattamento domestico, Home Care, sicurezza, valutazione"
The emigration of retirees: an overview of the Italian case| L’emigrazione dei pensionati: una panoramica del caso italiano,"emigrazione, pensionati, caso italiano, retirees"
"Invecchiare altrove: i pensionati italiani all'estero tra scelta, necessità e nuovi modi di invecchiare","pensionati, invecchiamento, scelta, necessità"
"Approcci integrati di inclusive design, active design, safety and security per lo spazio pubblico nella fase post-covid 19","design inclusivo, spazio pubblico, sicurezza, post-covid"
Home and Healthcare,"Home, Healthcare"
"Integrated approaches of inclusive design, active design, safety and security for the public space in the post-Covid 19 phase","inclusive design, active design, public space, safety"
L’incontro tra domanda e offerta di ricerca. Cluster Servizi per la Collettività: testimonianza dalle sedi,"domanda e offerta, ricerca, servizi, collettività"
Access City Award. Azioni e soluzioni per città inclusive e accessibili Access City Award. Actions and solutions for inclusive and accessible cities,"Access City Award, città inclusive, soluzioni accessibili, azioni"
Marine compounds and age-related diseases: the path from pre-clinical research to approved drugs for the treatment of cardiovascular diseases and diabetes,"marine compounds, age-related diseases, cardiovascular diseases, diabetes"
Cellular senescence and frailty: a comprehensive insight into the causal links,"cellular senescence, frailty, causal links"
Intergenerational Risk of Female Genital Mutilation/Cutting: A Study of Migrant Women Living in Italy,"mutilazione genitale, donne migranti, Italia, rischio intergenerazionale"
Introduction. The challenges of ageing societies: what justice requires,"aging societies, justice, challenges"
Exploring support for medicalized female genital mutilation/cutting: A study on migrant women living in Italy,"mutilazione genitale, donne migranti, Italia, supporto medico"
Migration and Health: Evidence and Challenges in the Italian Context,"migrazione, salute, Italia, sfide"
HALTING THE PROCESS,"halting, process"
"Women's Empowerment, Migration, and Health","empowerment, migration, health"
Sovranità generazionale vs. Costituzione permanente,"sovranità generazionale, costituzione, diritti, giustizia"
"Mercury Intake Estimation in Adult Individuals from Trieste, Italy: Hair Mercury Assessment and Validation of a Newly Developed Food Frequency Questionnaire","Mercury Intake, Trieste, Hair Assessment, Food Frequency Questionnaire"
Examining job performance in work from home considering job concentration and social isolation: The moderating role of emotional stability in a diary study,"job performance, work from home, social isolation, emotional stability"
The problems of empathy,"empathy, problems"
"Direct and indirect longitudinal relationships among self‐efficacy, job performance and career advancements","self-efficacy, job performance, career advancements, longitudinal relationships"
Time allocation and wellbeing in later life: the case of Italy,"allocazione tempo, benessere, vita adulta, Italia"
Equivalence between direct and indirect measures of psychological capital,"psychological capital, direct measures, indirect measures"
"Manipulating response times in the cognitive reflection test: Time delay boosts deliberation, time pressure hinders it","cognitive reflection, response times, deliberation, time pressure"
Redefining Aging through Transnational Mobility: The Case of Italian Retirees,"Aging, Transnational Mobility, Italian Retirees"
Regulated Empathy and Future Generations,"Empatia, Generazioni future, Regolamentazione"
InteLLExo: An Open Framework for Boosting the Development of Intelligent Exoskeletons,"InteLLExo, exoskeletons, framework, intelligent"
Conceptual and Functional Design of a New Sustainable Cable-Driven Hip Exoskeleton,"sustainable, cable-driven, hip exoskeleton, design"
Bodily expressions as gestalts. An argument for grounding direct perception theories,"bodily expressions, gestalts, direct perception, theories"
Empatia e generazioni future,"empatia, generazioni, futuro"
A Sense for Political Community: Obligations and Motivations in Time of Covid-19 Pandemic,"political community, obligations, motivations, Covid-19"
Compliance with recommended preventive behaviours and restrictions for Covid-19: an exploratory analysis of Italians’ attitudes,"compliance, preventive behaviours, Covid-19, attitudes"
Empatia regolata e sfide pubbliche,"empatia, regolata, sfide, pubbliche"
EEG Sensor-Based Computational Model for Personality and Neurocognitive Health Analysis Under Social Stress,"EEG, computational model, personality, social stress"
EEG Sensing to Assess Mental Fatigue Across Personality Traits Under Cognitive Load,"EEG, fatigue, personality traits, cognitive load"
Wearable Sensor Systems to Detect Biomarkers of Personality Traits for Healthy Aging: A Review,"Wearable Sensors, Biomarkers, Personality Traits, Healthy Aging"
Anxiety and EEG Frontal Theta-Beta Ratio Relationship Analysis Across Personality Traits During HDR Affective Videos Experience.,"Anxiety, EEG, Theta-Beta Ratio, Personality Traits"
The mitochondrial protease ClpP is a metabolic vulnerability and an immunogenic trigger against multiple myeloma,"ClpP, metabolic vulnerability, immunogenic trigger, multiple myeloma"
Photoplethysmography-Based Emotion Recognition in Response to High Dynamic Range Videos,"photoplethysmography, emotion recognition, high dynamic range, videos"
A scoping review on lower limb exoskeleton actuation’s description and characteristics,"exoscheletro, arti inferiori, attuazione, caratteristiche"
Human–Robot Interactions: A Pilot Study of Psychoaffective and Cognitive Factors to Boost the Acceptance and Usability of Assistive Wearable Devices,"Human-Robot Interactions, Psychoaffective Factors, Cognitive Factors, Assistive Wearable Devices"
Dynamic topographies of intrinsic neural timescales: a key role for consciousness,"topografie dinamiche, tempi intrinseci, coscienza"
Multiscale and multimodal signatures of structure-function coupling variability across the human neocortex,"multiscale, multimodal, neocortex, variability"
Disentangling cerebellar and parietal contributions to gait and body Schema: a repetitive transcranial magnetic stimulation study,"cerebellar, parietal, gait, transcranial magnetic stimulation"
Disentangling cerebellar and parietal contributions to gait and body schema: a repetitive transcranial magnetic stimulation study,"cerebellar, parietal, gait, body schema"
Probing intrinsic neural timescales in EEG with an information-theory inspired approach: permutation entropy time delay estimation (PE-TD),"neural timescales, EEG, permutation entropy, time delay"
A UWB-radar-based adaptive method for in-home monitoring of elderly,"UWB-radar, monitoraggio, anziani, metodo adattivo"
Genetic variability of FOXP2 and its targets CNTNAP2 and PRNP in frontotemporal dementia: A pilot study in a southern Italian population,"variabilità genetica, FOXP2, CNTNAP2, demenza frontotemporale"
Evaluating Cryopreservation Methods in Biobanking: Impacts on Biomarker Integrity and Omics Data Reliability,"Cryopreservation, Biobanking, Biomarker Integrity, Omics Data"
Care-ready homes: design guidelines for adapting spaces with assistive technologies,"care-ready homes, design guidelines, assistive technologies"
Associations among self-reported oral health and intrinsic capacity domains in US older adults: analysis from NHANES 2009–2014,"salute orale, capacità intrinseca, adulti anziani, NHANES"
Embedding oral health indicators into multidimensional frailty models,"oral health, frailty models, embedding, indicators"
Association between periodontal disease and intrinsic capacity in older adults: insights from NHANES 2009–2014,"periodontal disease, intrinsic capacity, older adults, NHANES"
Targeting oral frailty indicators of late-life cognitive disorders and depression: a systematic review,"oral frailty, cognitive disorders, depression, systematic review"
Oral frailty indicators and cardio-and cerebrovascular diseases in older age: A systematic review,"oral frailty, cardiovascular diseases, cerebrovascular diseases, older age"
"Impact of periodontal disease on cognitive disorders, dementia, and depression: a systematic review and meta-analysis","periodontal disease, cognitive disorders, dementia, depression"
Oral health indicators and bone mineral density disorders in older age: A systematic review,"salute orale, densità minerale ossea, anziani, revisione sistematica"
Educational needs and barriers in dementia care training for migrant family care assistants in Italy: a qualitative study,"demenza, formazione, migranti, care assistants"
Information and education for informal dementia caregivers: the Age-it project,"dementia, caregivers, education, Age-it"
The Role of Large Language Model-Generated Stories in the Narrative Experience of Serious Visual Novel Games,"Large Language Model, Narrative Experience, Visual Novel, Stories"
Le politiche a favore dell’invecchiamento attivo in Italia,"politiche, invecchiamento attivo, Italia"
The concept of vulnerability in aged care: a systematic review of argument-based ethics literature,"vulnerability, aged care, ethics, systematic review"
Silent vs. Sound: The Impact of Uniform Auditory Stimuli on Eye Movements and Game Performance,"auditory stimuli, eye movements, game performance, silent vs sound"
Evaluation of angle of arrival in indoor environments with bluetooth 5.1 direction finding,"angle of arrival, indoor environments, bluetooth 5.1, direction finding"
Age-It Decision Support System,"Decision Support, System, Age-It"
Integrating Intersubject Biofeedback in Hyperscanning visual affective experiment: proof of concept and preliminary results on HRV dynamics,"biofeedback, hyperscanning, HRV dynamics, affective experiment"
Acoustic and Sentiment Analyses for Voice and Life Quality Characterisation After Medical Intervention in Voice Pathologies,"Acoustic Analysis, Sentiment Analysis, Voice Pathologies, Life Quality"
Quantitative Electrodermal Activity Analysis of Simultaneous Recordings from Dyads during Affective Visual Task: Proof of Concept and Preliminary Results,"elettrodermal activity, dyads, affective task, quantitative analysis"
Preliminary results of a multidimensional approach to screen for frailty in community-dwelling older adults of eight Italian regions: the SUNFRAIL+ study,"frailty, anziani, comunità, SUNFRAIL+"
Blueprint persona and ICT interventions: addressing unmet needs in burning mouth syndrome care,"burning mouth syndrome, ICT interventions, unmet needs, blueprint persona"
Understanding Game Performance: A Study of Eye Blinking and Pupil Metrics in Matching Pairs Game,"Game Performance, Eye Blinking, Pupil Metrics, Matching Pairs"
Event-Related Potentials in Complex and Simple Words-Pseudowords Aloud Reading Task,"Event-Related Potentials, Aloud Reading, Complex Words, Pseudowords"
Expectancy Violation: Climate Change Associations May Reveal Underlying Brain-Evoked Responses of Implicit Attitudes,"Expectancy Violation, Climate Change, Implicit Attitudes, Brain Responses"
Pupil Dilation Dynamics in Serious Game Emotional Activation,"pupil dilation, emotional activation, serious games"
Markov Chain Modeling of Facial Emotions’ Dynamics in Video Games,"Markov Chain, Facial Emotions, Dynamics, Video Games"
Machine Learning and Artificial Intelligence at the Edge: Federated Learning for Colposcopy Image Analysis,"Machine Learning, Artificial Intelligence, Federated Learning, Colposcopy"
Eyetracking correlated in the matching pairs game,"eyetracking, matching pairs, game"
1H NMR for Comparative Metabolic Analysis of Whey and WPC-80,"NMR, metabolismo, siero, WPC-80"
"NMR-Based Metabolomic Profiling Highlights Functional Nutritional Gaps Between Human Milk, Infant Formulas, and Animal Milks","profiling, nutritional gaps, human milk, infant formulas"
Electrodermal activity and acoustical analysis in a words/non-words reading task,"electrodermal activity, acoustical analysis, reading task, words/non-words"
Investigating aging trajectories and determinants in Northern Italy through the Novara cohort study,"invecchiamento, determinanti, coorte Novara, Italia settentrionale"
Real and deepfake face recognition: An EEG study on cognitive and emotive implications,"deepfake, face recognition, EEG, cognitive implications"
Vision-language models in ecg interpretation: An exploratory study,"vision-language models, ECG interpretation, exploratory study"
Promoting physical activity in middle-aged and older adults through digital intervention: matching message frame and recipient profile through deep reinforcement learning,"physical activity, digital intervention, deep reinforcement learning, recipient profile"
Eye-tracking correlates of the Implicit Association Test,"eye-tracking, Implicit Association Test, correlates"
Electroencephalographic Correlates in Synthetic and Real Emotional Face Stimulation,"electroencefalografia, emozioni, stimolazione, volti"
"Getting Older People’s Voices Heard: A Quantitative Study Using the Validated Italian Age-Friendly Cities and Communities Questionnaire in Venice, Verona and Palermo","anziani, questionario, città amichevoli, Italia"
"Education, Learning and Skills for Active Ageing: an Italian Research on Good Practices","Educazione, Apprendimento, Competenze, Invecchiamento attivo"
Social Justice and Ageing: Older Learners as Active Citizens in a Complex System,"giustizia sociale, invecchiamento, cittadini attivi, apprendimento"
Characterization of Circulating Vesicles of Complicated and Uncomplicated Systemic Sclerosis Patients and Their Role in Vascular Dysfunction,"circulating vesicles, systemic sclerosis, vascular dysfunction"
Exploring frailty and aging biomarkers: preliminary insights from the Novara Cohort Study,"frailty, aging, biomarkers, Novara Cohort"
"Lysine-specific demethylase 1 (KDM1A/LSD1) targeting reduces colorectal cancer progression by altering cancer cell stemness, differentiation, and motility","KDM1A, colorectal cancer, stemness, differentiation"
UPO Biobank: The challenge of integrating biobanking into the academic environment to support translational research,"UPO Biobank, biobanking, traslational research, integrazione accademica"
Extracellular vesicles from human plasma for biomarkers discovery: Impact of anticoagulants and isolation techniques,"extracellular vesicles, biomarkers, anticoagulants, isolation techniques"
"Diagnostic, prognostic and treatment efficacy power of biomarkers of aging for frailty, agerelated diseases and multimorbidity","biomarkers, aging, frailty, multimorbidity"
Autobiography and Quality Longevity,"autobiography, quality, longevity"
Public attitude towards biobanking: an Italian university survey,"atteggiamento pubblico, biobanking, università italiana, sondaggio"
Dissecting the mechanism of action of spiperone—a candidate for drug repurposing for colorectal cancer,"spiperone, meccanismo d'azione, riutilizzo farmaci, cancro colorettale"
Early identification of frailty in older adults in primary care: a study protocol of a longitudinal cohort study,"identificazione precoce, fragilità, anziani, cure primarie"
Gender Differences in the Relationship Between Health Literacy and Stress Among Caregivers of Older Adults with Dementia,"gender differences, health literacy, stress, caregivers"
Building Multiprofessional Primary Care Teams: Insights From a Community Health Center in Italy,"team multiprofessionale, cura primaria, centro sanitario, Italia"
Shared reading interventions to promote psychosocial well-being in older adults: a systematic review,"shared reading, interventions, psychosocial well-being, older adults"
Measuring Health Literacy among seniors: validation of the European Health Literacy Survey Questionnaire 6 in the Tuscan PASSI sample,"Health Literacy, seniors, European Survey, Tuscan PASSI"
A new hospital-at-home model for integrated geriatric care: data from a preliminary Italian experience,"ospedale a casa, cura geriatrica, esperienza italiana"
How to communicate with older adults about climate change: a systematic review,"comunicazione, adulti anziani, cambiamento climatico, revisione sistematica"
Enhancing Primary Health Care through Interprofessional education: Insights from a Training Workshop,"Primary Health Care, Interprofessional education, Training Workshop, Insights"
Inequalities and psycho-social well-being in italian universities: what has changed after the pandemic?,"disuguaglianze, benessere psicologico, università italiane, pandemia"
Cosa rende una città a misura di anziani? Evidenze dal dataset AFCCQ-IT,"città, anziani, dataset, AFCCQ-IT"
How older residents experience the Age-friendliness of Venice. Insights from a quantitative study,"age-friendliness, Venice, older residents, quantitative study"
Protocol for characterizing non-genetic heterogeneity and expression dynamics of surface proteins in mouse muscle stem cells using flow cytometry,"heterogeneity, surface proteins, muscle stem cells, flow cytometry"
CRIPTO-based micro-heterogeneity of mouse muscle satellite cells enables adaptive response to regenerative microenvironment,"micro-heterogeneity, satellite cells, regenerative, muscle"
"Different roles of circulating and intramuscular GDF15 as markers of skeletal muscle health. Front. Endocrinol. 15, 1404047","GDF15, muscle health, circulating markers, intramuscular markers"
A RalA between high-fat diet and mitochondrial shape,"RalA, dieta ad alto contenuto di grassi, mitocondri, forma"
"Promoting Active Longevity: The Challenge of Continuing Education for Well-being, Beyond and Above the Emergency","longevità attiva, educazione continua, benessere, emergenza"
Abitare l’“eccezionalità”. Storie di vita e contesti abitativi innovativi per la longevità e l’Active Ageing,"eccezionalità, longevità, abitativi innovativi, Active Ageing"
Active Ageing: il ruolo dell’apprendimento permanente,"Active Ageing, apprendimento permanente, ruolo, invecchiamento attivo"
Per avviare il discorso. Costruire l’ageing,"discorso, costruire, ageing"
Federated Kolmogorov-Arnold Networks for Healthcare Data Analysis: A Study Using ECG Signal,"Federated Networks, Kolmogorov-Arnold, Healthcare Data, ECG Signal"
The Needs of the Over-55 Population and Design Strategies for the Development of Gerontechnologies for Active and Healthy Ageing,"over-55, gerontechnologies, active ageing, healthy ageing"
Are Italian Older Adults Ready for Gerontechnologies? Results from a Survey for Active and Healthy Ageing,"anziani, gerontecnologie, salute, attività"
(definire) Linee Guida per il design di gerontecnologie volte a promuovere l'invecchiamento sano e attivo,"gerontecnologie, invecchiamento sano, design, linee guida"
In-Home Wellbeing Monitoring Technologies for Frail and Pre-frail People: A Scoping Review,"wellbeing monitoring, frail people, pre-frail, scoping review"
Personalized Federated Learning in Edge-Cloud Continuum for Privacy-Preserving Healthcare: Opportunities and Challenges,"Federated Learning, Edge-Cloud, Privacy-Preserving, Healthcare"
Indicazioni per i policy maker,"policy maker, indicazioni"
Aluminum nitride thin film piezoelectric pressure sensor for respiratory rate detection,"aluminum nitride, thin film, piezoelectric, pressure sensor"
Baseline metabolic signatures predict clinical outcomes in immunotherapy-treated melanoma patients: a pilot study,"metabolic signatures, clinical outcomes, immunotherapy, melanoma"
Towards Explainable Federated Learning in Healthcare: A Study on Heart Arrhythmia Detection,"Federated Learning, Explainable, Healthcare, Arrhythmia Detection"
Differential Anti-Inflammatory Effects of Electrostimulation in a Standardized Setting,"anti-infiammatorio, elettrostimolazione, effetti, standardizzato"
HCD approach for the definition of physical and digital interfaces for the promotion of active and healthy ageing,"HCD, interfacce fisiche, interfacce digitali, invecchiamento attivo"
Elderly and Digital Health Technologies: The Relationship Between Gerontechnology and Design for Active and Healthy Ageing,"Gerontecnologia, Salute digitale, Invecchiamento attivo, Design"
Short Video Interestingness: A Machine Learning Approach to Determine Creative Cues in Audiovisual Production,"Short Video, Interestingness, Machine Learning, Creative Cues"
Prevalence and clinical significance of loneliness in older patients admitted to acute hospital wards,"loneliness, older patients, clinical significance, acute hospital"
Prediction of COVID-19 in-hospital mortality in older patients using artificial intelligence: a multicenter study,"COVID-19, mortalità, anziani, intelligenza artificiale"
Screening for dysphagia: time is now!,"dysphagia, screening, time"
Prevalence and management of dysphagia in nursing home residents in Europe and Israel: the SHELTER Project,"dysphagia, nursing home, prevalence, management"
Methylation patterns associated with TTV load in geriatric hospitalized patients: an exploratory functional analysis,"methylation patterns, TTV load, geriatric patients, functional analysis"
Towards the identification of a Systemic Depopulation Areas Index: the case of Molise,"Systemic Index, Depopulation, Molise"
Older Parent–Child Relations in Remote Areas: New Insights on Intergenerational Ties and Support Networks in Italy,"relazioni intergenerazionali, supporto, genitori anziani, Italia"
Neutrophil to Lymphocyte Ratio as a Predictive Biomarker of Dementia: Findings from a Prospective Cohort Study in Individuals with Mild Cognitive Impairment,"Neutrophil to Lymphocyte Ratio, biomarker, dementia, cognitive impairment"
What’s behind delirium: is there a specific role for medications?,"delirium, medications, role"
The role of Golgi complex proteins in cell division and consequences of their dysregulation,"Golgi complex, cell division, dysregulation"
TENT5/FAM46: An Enigmatic Family of Secretory Tuners,"TENT5, FAM46, secretory, family"
The Golgi checkpoint: Golgi unlinking during G2 is required for correct spindle formation and cytokinesis,"Golgi checkpoint, spindle formation, cytokinesis"
"Il peso della cura: disuguaglianze sociali nel"" caregiving"" informale in Italia","cura, disuguaglianze sociali, caregiving, Italia"
Social inequality in informal caregiving in Italy,"disuguaglianza sociale, cura informale, Italia"
Does Caregiving Add To Already Existing Disadvantages?,"caregiving, disadvantages, existing"
Partners' health and silver splits in Europe: A gendered pattern?,"salute, genere, Europa, disuguaglianze"
Spatial Heterogeneities or Inequalities? Health Care Supply and Demand of the Older Population in Italy,"disuguaglianze, sanità, popolazione anziana, Italia"
Caring in an Ageing Society: Support Network Patterns and Dynamics in Italy,"Caring, Ageing Society, Support Network, Italy"
The local regression approach as a tool to improve place-based policies: The case of Molise (Southern Italy),"local regression, place-based policies, Molise, Southern Italy"
Avanzare insieme nella società anziana: Considerazioni multidisciplinari sulla domanda di assistenza agli anziani in Italia,"società anziana, assistenza anziani, considerazioni multidisciplinari, Italia"
Domanda e offerta di assistenza agli anziani lungo la penisola,"assistenza anziani, domanda offerta, penisola, servizi"
I micro dati sulla domanda di assistenza degli anziani non autosufficienti in Italia: una ricognizione ragionata delle fonti disponibili,"micro dati, domanda assistenza, anziani, Italia"
Micro data on the demand for care of dependent older people in Italy: A review of available sources,"domanda di assistenza, anziani dipendenti, Italia, fonti disponibili"
Studiare la cura di lungo termine: definizioni e quadro concettuale,"cura di lungo termine, definizioni, quadro concettuale"
"Caratteristiche, organizzazione e fruibilità delle fonti statistiche sull’assistenza agli anziani in Italia","fonti statistiche, assistenza anziani, Italia"
Gli scambi di aiuto in Italia,"scambi, aiuto, Italia"
Alternate actions of CDK4/6 inhibitors beyond cell cycle blockade: unexplored roles in therapy resistance,"CDK4/6 inhibitors, cell cycle, therapy resistance"
A novel six-biomarker panel identified from male breast cancer-associated fibroblasts demonstrates prognostic power for prostate tumors,"biomarker panel, fibroblasti, cancro prostata, prognostic power"
Environmental plastic pollutants and endocrine-related cancer: An updated view,"plastic pollutants, endocrine cancer, environmental impact"
